Date	Trials	genotype	ttmt	perf	T_KD	T_Prob	N_Prob	T_feed	T_Predi	V_bloodmeal	Av_weight
41766	CRS24	RS	Control	1	NA	7.25	1	248.34	153.77	6.6	0.944
41766	CRS25	RS	Control	1	NA	10.17	1	235.12	168.8	5.546236559	0.944
41766	CRS26	RS	Control	1	NA	6.99	1	118.89	56.06	4.675268817	0.944
41766	CRS30	RS	Control	1	NA	8.52	1	143.05	47.37	5.255913978	0.944
41766	CRS33	RS	Control	1	NA	12.69	1	181.19	181.75	3.48172043	0.944
41767	CRS37	RS	Control	1	NA	7.81	1	206.22	142.91	4.492473118	0.992
41767	CRS38	RS	Control	1	NA	6.41	1	308.49	NA	5.653763441	0.992
41767	CRS45	RS	Control	1	NA	12.2	1	116.3	265.66	3.621505376	0.992
41767	CRS46	RS	Control	1	NA	10.67	2	521.89	412.18	5.632258065	0.992
41767	CRS47	RS	Control	1	NA	7.35	1	253.1	204.55	3.696774194	0.992
41767	CRS49	RS	Control	1	NA	3.56	1	175.85	119.26	3.019354839	0.992
41767	CRS50	RS	Control	1	NA	11.59	3	71.22	27.07	3.567741935	0.992
41768	CRS54	RS	Control	1	NA	11.76	1	147.84	36.39	3.664516129	0.992
41768	CRS55	RS	Control	1	NA	7.91	1	322.06	159.41	5.148387097	0.992
41768	CRS56	RS	Control	1	NA	9.98	1	251.46	171.25	5.890322581	0.992
41769	CRS57	RS	Control	1	NA	17.49	1	140.96	122.48	3.503225806	0.938
41769	CRS58	RS	Control	1	NA	86.44	1	113.11	NA	5.847311828	0.938
41769	CRS59	RS	Control	1	NA	21	1	41.47	NA	1.890322581	0.938
41769	CRS60	RS	Control	1	NA	26.03	1	178.81	398.69	5.062365591	0.938
41769	CRS61	RS	Control	1	NA	18.43	1	165.4	141.72	5.589247312	0.938
41769	CRS62	RS	Control	1	NA	21.53	1	251.21	182.72	5.019354839	0.938
41769	CRS63	RS	Control	1	NA	7.14	1	80.56	NA	5.567741935	0.938
41771	CRS67	RS	Control	1	NA	58.77	1	163.15	66.53	5.750537634	0.952
41771	CRS69	RS	Control	1	NA	15.44	1	176.24	93.77	5.288172043	0.952
41771	CRS70	RS	Control	1	NA	7.03	1	143.62	NA	4.212903226	0.952
41764	CRS1	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41765	CRS8	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41765	CRS10	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41765	CRS11	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41765	CRS13	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41765	CRS14	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41765	CRS19	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41765	CRS21	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41766	CRS27	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41766	CRS28	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41766	CRS29	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41766	CRS31	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41766	CRS32	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41766	CRS34	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41766	CRS35	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41766	CRS36	RS	Control	0	NA	NA	NA	NA	NA	NA	0.944
41767	CRS39	RS	Control	0	NA	NA	NA	NA	NA	NA	0.992
41767	CRS40	RS	Control	0	NA	NA	NA	NA	NA	NA	0.992
41767	CRS41	RS	Control	0	NA	NA	NA	NA	NA	NA	0.992
41767	CRS42	RS	Control	0	NA	NA	NA	NA	NA	NA	0.992
41767	CRS43	RS	Control	0	NA	NA	NA	NA	NA	NA	0.992
41767	CRS44	RS	Control	0	NA	NA	NA	NA	NA	NA	0.992
41767	CRS48	RS	Control	0	NA	NA	NA	NA	NA	NA	0.992
41768	CRS51	RS	Control	0	NA	NA	NA	NA	NA	NA	0.992
41768	CRS52	RS	Control	0	NA	NA	NA	NA	NA	NA	0.992
41768	CRS53	RS	Control	0	NA	NA	NA	NA	NA	NA	0.992
41771	CRS64	RS	Control	0	NA	NA	NA	NA	NA	NA	0.952
41771	CRS65	RS	Control	0	NA	NA	NA	NA	NA	NA	0.952
41771	CRS66	RS	Control	0	NA	NA	NA	NA	NA	NA	0.952
41771	CRS68	RS	Control	0	NA	NA	NA	NA	NA	NA	0.952
41771	PRS3	RS	Permanet	1	NA	33.98	2	61.67	5.22	2.847311828	0.952
41771	PRS5	RS	Permanet	1	NA	97.2	8	141.31	48.26	1.976344086	0.952
41771	PRS7	RS	Permanet	1	NA	11.2	1	85.25	7.28	2.621505376	0.952
41772	PRS13	RS	Permanet	1	NA	14.18	1	64.8	NA	2.696774194	0.934
41772	PRS16	RS	Permanet	1	NA	21.55	2	157.44	96.42	4.24516129	0.934
41773	PRS22	RS	Permanet	1	546.569	5.36	1	71.44	46.9	3.030107527	0.97
41773	PRS28	RS	Permanet	1	NA	10.57	1	193.09	NA	3.180645161	0.97
41773	PRS29	RS	Permanet	1	NA	73.65	2	105.73	31.18	0.997849462	0.97
41774	PRS39	RS	Permanet	1	NA	5.49	1	71.27	14.69	2.535483871	0.94
41774	PRS40	RS	Permanet	1	NA	9.12	1	84.82	39.9	3.48172043	0.94
41771	PRS1	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.952
41771	PRS2	RS	Permanet	0	443.199	NA	NA	NA	NA	NA	0.952
41771	PRS4	RS	Permanet	0	516.52	NA	NA	NA	NA	NA	0.952
41771	PRS6	RS	Permanet	0	550.327	NA	NA	NA	NA	NA	0.952
41772	PRS8	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.934
41772	PRS9	RS	Permanet	0	320.031	NA	NA	NA	NA	NA	0.934
41772	PRS10	RS	Permanet	0	521.632	NA	NA	NA	NA	NA	0.934
41772	PRS11	RS	Permanet	0	532.934	NA	NA	NA	NA	NA	0.934
41772	PRS12	RS	Permanet	0	470.638	NA	NA	NA	NA	NA	0.934
41772	PRS14	RS	Permanet	0	388.081	NA	NA	NA	NA	NA	0.934
41772	PRS15	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.934
41772	PRS17	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.934
41772	PRS18	RS	Permanet	0	478.126	NA	NA	NA	NA	NA	0.934
41773	PRS19	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.97
41773	PRS20	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.97
41773	PRS21	RS	Permanet	0	648.504	NA	NA	NA	NA	NA	0.97
41773	PRS23	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.97
41773	PRS24	RS	Permanet	0	568.229	NA	NA	NA	NA	NA	0.97
41773	PRS25	RS	Permanet	0	550.159	NA	NA	NA	NA	NA	0.97
41773	PRS26	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.97
41773	PRS27	RS	Permanet	0	651.17	NA	NA	NA	NA	NA	0.97
41773	PRS30	RS	Permanet	0	151.215	NA	NA	NA	NA	NA	0.97
41774	PRS31	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.94
41774	PRS32	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.94
41774	PRS33	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.94
41774	PRS34	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.94
41774	PRS35	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.94
41774	PRS36	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.94
41774	PRS37	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.94
41774	PRS38	RS	Permanet	0	565.532	NA	NA	NA	NA	NA	0.94
41774	PRS41	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.94
41774	PRS42	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.94
41774	PRS43	RS	Permanet	0	NA	NA	NA	NA	NA	NA	0.94
41776	ORS6	RS	Olyset	1	NA	50.85	3	58.56	NA	2.148387097	1.068
41776	ORS7	RS	Olyset	1	NA	34.33	1	76.36	12.32	2.298924731	1.068
41776	ORS9	RS	Olyset	1	NA	6.45	1	113.37	26.81	3.234408602	1.068
41776	ORS13	RS	Olyset	1	NA	27.13	2	117.13	NA	3.503225806	1.068
41778	ORS15	RS	Olyset	1	NA	9.65	1	91.15	99.67	3.169892473	0.822
41778	ORS21	RS	Olyset	1	NA	38.91	1	80.79	8.1	2.503225806	0.822
41778	ORS23	RS	Olyset	1	NA	113.17	2	66.17	NA	1.051612903	0.822
41778	ORS28	RS	Olyset	1	322.284	9.51	1	155.28	6.85	4.36344086	0.822
41780	ORS29	RS	Olyset	1	NA	13.32	1	111.29	32.55	3.040860215	0.98
41780	ORS30	RS	Olyset	1	NA	10.31	1	86.3	NA	3.094623656	0.98
41780	ORS31	RS	Olyset	1	NA	7.96	1	69.3	NA	2.739784946	0.98
41780	ORS32	RS	Olyset	1	329.359	7.74	1	88.86	26.83	2.890322581	0.98
41780	ORS33	RS	Olyset	1	NA	76.4	5	50.82	NA	2.148387097	0.98
41780	ORS34	RS	Olyset	1	NA	4.14	1	93.84	NA	2.610752688	0.98
41780	ORS37	RS	Olyset	1	NA	33.93	1	90.29	NA	3.288172043	0.98
41780	ORS41	RS	Olyset	1	NA	49.94	2	110.43	NA	1.148387097	0.98
41780	ORS43	RS	Olyset	1	594.389	8.27	1	94.18	NA	2.449462366	0.98
41776	ORS1	RS	Olyset	0	NA	NA	NA	NA	NA	NA	1.068
41776	ORS2	RS	Olyset	0	NA	NA	NA	NA	NA	NA	1.068
41776	ORS3	RS	Olyset	0	636.58	NA	NA	NA	NA	NA	1.068
41776	ORS4	RS	Olyset	0	471.295	NA	NA	NA	NA	NA	1.068
41776	ORS5	RS	Olyset	0	610.388	NA	NA	NA	NA	NA	1.068
41776	ORS8	RS	Olyset	0	306.202	NA	NA	NA	NA	NA	1.068
41776	ORS10	RS	Olyset	0	NA	NA	NA	NA	NA	NA	1.068
41776	ORS11	RS	Olyset	0	448.148	NA	NA	NA	NA	NA	1.068
41776	ORS12	RS	Olyset	0	NA	NA	NA	NA	NA	NA	1.068
41778	ORS14	RS	Olyset	0	NA	NA	NA	NA	NA	NA	0.822
41778	ORS16	RS	Olyset	0	NA	NA	NA	NA	NA	NA	0.822
41778	ORS17	RS	Olyset	0	653.12	NA	NA	NA	NA	NA	0.822
41778	ORS18	RS	Olyset	0	NA	NA	NA	NA	NA	NA	0.822
41778	ORS19	RS	Olyset	0	NA	NA	NA	NA	NA	NA	0.822
41778	ORS20	RS	Olyset	0	NA	NA	NA	NA	NA	NA	0.822
41778	ORS22	RS	Olyset	0	NA	NA	NA	NA	NA	NA	0.822
41778	ORS24	RS	Olyset	0	NA	NA	NA	NA	NA	NA	0.822
41778	ORS25	RS	Olyset	0	652.231	NA	NA	NA	NA	NA	0.822
41778	ORS26	RS	Olyset	0	362.387	NA	NA	NA	NA	NA	0.822
41778	ORS27	RS	Olyset	0	537.31	NA	NA	NA	NA	NA	0.822
41780	ORS35	RS	Olyset	0	602.45	NA	NA	NA	NA	NA	0.98
41780	ORS36	RS	Olyset	0	NA	NA	NA	NA	NA	NA	0.98
41780	ORS38	RS	Olyset	0	NA	NA	NA	NA	NA	NA	0.98
41780	ORS39	RS	Olyset	0	370.128	NA	NA	NA	NA	NA	0.98
41780	ORS40	RS	Olyset	0	NA	NA	NA	NA	NA	NA	0.98
41780	ORS42	RS	Olyset	0	NA	NA	NA	NA	NA	NA	0.98
